profile,model,spec,nmax,prompt_id,tg_tps,accept,meanlen,gen_tokens
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,3,4,59.32,0.43939,2.32,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,3,5,70.60,0.59707,2.77,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,3,6,62.66,0.48867,2.47,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,3,7,59.31,0.44753,2.33,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,3,8,61.54,0.46855,2.41,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,3,9,59.42,0.43939,2.32,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,4,0,58.37,0.40674,2.62,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,4,1,70.19,0.51964,3.07,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,4,2,57.41,0.37500,2.50,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,4,3,72.19,0.55063,3.17,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,4,4,55.76,0.35800,2.43,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,4,5,69.43,0.51818,3.04,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,4,6,62.06,0.42933,2.71,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,4,7,57.64,0.38442,2.51,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,4,8,58.99,0.39494,2.58,256
e2b,gemma-4-E2B-it-qat-UD-Q4_K_XL,draft-mtp,4,9,57.97,0.38213,2.52,256
